valueSetId,valueSetName,code,display,codeSystem
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.1,ST elevation (STEMI) myocardial infarction of inferior wall,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.2,ST elevation (STEMI) myocardial infarction of other sites,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.3,ST elevation (STEMI) myocardial infarction of unspecified site,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.4,Non-ST elevation (NSTEMI) myocardial infarction,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,54329005,Acute myocardial infarction of anterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703210007,Subsequent ST segment elevation myocardial infarction of anterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,65547006,Acute myocardial infarction of inferolateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,65547006,Acute myocardial infarction of inferolateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,70211005,Acute myocardial infarction of anterolateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,65547006,Acute myocardial infarction of inferolateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,76593002,Acute myocardial infarction of inferoposterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,57054005,Acute myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,194856005,Subsequent myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,418044006,Myocardial infarction in recovery phase (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,194858006,Subsequent myocardial infarction of inferior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,194857001,Subsequent myocardial infarction of anterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703211006,Subsequent ST segment elevation myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,70211005,Acute myocardial infarction of anterolateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,70211005,Acute myocardial infarction of anterolateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,70422006,Acute subendocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,57054005,Acute myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,194862000,Hemopericardium due to and following acute myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,194866002,Rupture of chordae tendinae due to and following acute myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,194868001,"Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction (disorder)",http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,394710008,First myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,76593002,Acute myocardial infarction of inferoposterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,57054005,Acute myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,15713161000119100,Acute ST segment elevation myocardial infarction of septum (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,194809007,Acute atrial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,3098007,Rupture of interventricular septum (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,371817007,Acute ventricular septal rupture (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,56276002,Left main coronary artery thrombosis (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,79009004,Acute myocardial infarction of septum (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,10273003,Acute infarction of papillary muscle (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,1077002,Septal infarction by electrocardiogram (finding),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,54329005,Acute myocardial infarction of anterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,233838001,Acute posterior myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,70422006,Acute subendocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703360004,Subsequent non-ST segment elevation myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,54329005,Acute myocardial infarction of anterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,62695002,Acute anteroseptal myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,233826005,Acute non-Q wave infarction - anteroseptal (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,311792005,Postoperative transmural myocardial infarction of anterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,52035003,Acute anteroapical myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,285981000119103,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,233825009,Acute Q wave infarction - anteroseptal (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,164868007,Anteroseptal infarction on electrocardiogram (finding),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,15712961000119108,Acute ST segment elevation myocardial infarction of anteroseptal wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703252002,Acute myocardial infarction of anterior wall involving right ventricle (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703165004,Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703164000,Acute ST segment elevation myocardial infarction of anterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,233838001,Acute posterior myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,73795002,Acute myocardial infarction of inferior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703209002,Subsequent ST segment elevation myocardial infarction of inferior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,58612006,Acute myocardial infarction of lateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,15712841000119100,Acute ST segment elevation myocardial infarction of posterolateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,233834004,Acute non-Q wave infarction - lateral (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,282006,Acute myocardial infarction of basal-lateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,59063002,Acute myocardial infarction of apical-lateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,64627002,Acute myocardial infarction of high lateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,15990001,Acute myocardial infarction of posterolateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,164871004,Lateral infarction on electrocardiogram (finding),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,233833005,Acute Q wave infarction - lateral (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,15712921000119103,Acute ST segment elevation myocardial infarction of lateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,57054005,Acute myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,76593002,Acute myocardial infarction of inferoposterior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,73795002,Acute myocardial infarction of inferior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,233830008,Acute non-Q wave infarction - inferior (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,311793000,Postoperative transmural myocardial infarction of inferior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,233829003,Acute Q wave infarction - inferior (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703213009,Acute ST segment elevation myocardial infarction of inferior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703251009,Acute myocardial infarction of inferior wall involving right ventricle (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,58612006,Acute myocardial infarction of lateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,58612006,Acute myocardial infarction of lateral wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,57054005,Acute myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,73795002,Acute myocardial infarction of inferior wall (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,703253007,Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,70422006,Acute subendocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,57054005,Acute myocardial infarction (disorder),http://snomed.info/sct
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,233838001,Acute posterior myocardial infarction (disorder),http://snomed.info/sct
1516.troponin-labs,Troponin Labs,10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,http://loinc.org
1516.troponin-labs,Troponin Labs,42757-5,Troponin I.cardiac [Mass/volume] in Blood,http://loinc.org
1516.ecg-proc,Echocardiogram,0206T,"Computerized database analysis of multiple cycles of digitized cardiac electrical data from two or more ECG leads, including transmission to a remote center, application of multiple nonlinear mathematical transformations, with coronary artery obstruction ",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,93660,"Evaluation of cardiovascular function with tilt table evaluation, with continuous ECG monitoring and intermittent blood pressure monitoring, with or without pharmacological intervention",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,93229,"External mobile cardiovascular telemetry with electrocardiographic recording, concurrent computerized real time data analysis and greater than 24 hours of accessible ECG data storage (retrievable with query) with ECG triggered and patient selected events ",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,93228,"External mobile cardiovascular telemetry with electrocardiographic recording, concurrent computerized real time data analysis and greater than 24 hours of accessible ECG data storage (retrievable with query) with ECG triggered and patient selected events ",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,93745,"Initial set-up and programming by a physician or other qualified health care professional of wearable cardioverter-defibrillator includes initial programming of system, establishing baseline electronic ECG, transmission of data to data repository, patient",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,93798,Physician or other qualified health care professional services for outpatient cardiac rehabilitation; with continuous ECG monitoring (per session),http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,93042,"Rhythm ECG, 1-3 leads; interpretation and report only",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,93041,"Rhythm ECG, 1-3 leads; tracing only without interpretation and report",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,93040,"Rhythm ECG, 1-3 leads; with interpretation and report",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,95807,"Sleep study, simultaneous recording of ventilation, respiratory effort, ECG or heart rate, and oxygen saturation, attended by a technologist",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,0180T,"Electrocardiogram, 64 leads or greater, with graphic presentation and analysis; interpretation and report only",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,0179T,"Electrocardiogram, 64 leads or greater, with graphic presentation and analysis; tracing and graphics only, without interpretation and report",http://www.ama-assn.org/go/cpt
1516.ecg-proc,Echocardiogram,0178T,"Electrocardiogram, 64 leads or greater, with graphic presentation and analysis; with interpretation and report",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,01920,Anesthesia for cardiac catheterization including coronary angiography and ventriculography (not to include Swan-Ganz catheter),http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93454,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93455,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, ven",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93457,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, ven",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93459,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ven",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93458,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ven",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93461,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right and left heart catheterization including intraprocedural injection(s) fo",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93460,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right and left heart catheterization including intraprocedural injection(s) fo",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93456,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right heart catheterization",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93563,"Injection procedure during cardiac catheterization including imaging supervision, interpretation, and report; for selective coronary angiography during congenital heart catheterization (List separately in addition to code for primary procedure)",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93572,Intravascular Doppler velocity and/or pressure derived coronary flow reserve measurement (coronary vessel or graft) during coronary angiography including pharmacologically induced stress; each additional vessel (List separately in addition to code for pri,http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,93571,Intravascular Doppler velocity and/or pressure derived coronary flow reserve measurement (coronary vessel or graft) during coronary angiography including pharmacologically induced stress; initial vessel (List separately in addition to code for primary pro,http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,92975,"Thrombolysis, coronary; by intracoronary infusion, including selective coronary angiography",http://www.ama-assn.org/go/cpt
1516.coronary-angiogram-proc,Coronary Angiogram,33367005,Coronary angiography,http://snomed.info/sct
1516.stroke-dx,Stroke Diagnoses,434.11,Cerebral embolism with cerebral infarction,http://hl7.org/fhir/sid/icd-9-cm
1516.stroke-dx,Stroke Diagnoses,I63.012,Cerebral infarction due to thrombosis of left vertebral artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.09,Cerebral infarction due to thrombosis of other precerebral artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.039,Cerebral infarction due to thrombosis of unspecified carotid artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.111,Cerebral infarction due to embolism of right vertebral artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.22,Cerebral infarction due to unspecified occlusion or stenosis of basilar arteries,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.239,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid arteries,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.329,Cerebral infarction due to thrombosis of unspecified anterior cerebral artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.342,Cerebral infarction due to thrombosis of left cerebellar artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.219,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral arteries,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.29,Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.319,Cerebral infarction due to thrombosis of unspecified middle cerebral artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.02,Cerebral infarction due to thrombosis of basilar artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.20,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.112,Cerebral infarction due to embolism of left vertebral artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.311,Cerebral infarction due to thrombosis of right middle cerebral artery,http://hl7.org/fhir/sid/icd-10-cm
1516.stroke-dx,Stroke Diagnoses,I63.321,Cerebral infarction due to thrombosis of right anterior cerebral artery,http://hl7.org/fhir/sid/icd-10-cm
